0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
0.60187-0.41402i	0.60247-0.40921i	0.60307-0.4044i	0.60367-0.39959i	0.60426-0.39478i	0.60486-0.38997i	0.60532-0.38505i	0.60563-0.38003i	0.60593-0.375i	0.60624-0.36997i	0.60654-0.36495i	0.60685-0.35992i	0.6069-0.35471i	0.60691-0.34948i
0.58015-0.36424i	0.58078-0.3593i	0.58141-0.35437i	0.58204-0.34943i	0.58267-0.34449i	0.58329-0.33956i	0.58379-0.33452i	0.58414-0.32938i	0.58449-0.32424i	0.58485-0.31911i	0.5852-0.31397i	0.58555-0.30883i	0.58566-0.30352i	0.58574-0.2982i
0.56655-0.31i	0.56726-0.30498i	0.56797-0.29995i	0.56869-0.29492i	0.5694-0.2899i	0.57011-0.28487i	0.57069-0.27975i	0.57115-0.27454i	0.5716-0.26933i	0.57205-0.26412i	0.5725-0.25891i	0.57295-0.2537i	0.57318-0.24834i	0.57337-0.24296i
0.56152-0.25382i	0.56237-0.24876i	0.56321-0.2437i	0.56405-0.23864i	0.56489-0.23358i	0.56573-0.22852i	0.56646-0.22338i	0.56705-0.21815i	0.56765-0.21293i	0.56825-0.20771i	0.56884-0.20248i	0.56944-0.19726i	0.56982-0.19191i	0.57017-0.18654i
0.56461-0.19797i	0.56562-0.19295i	0.56662-0.18793i	0.56763-0.18291i	0.56863-0.17789i	0.56964-0.17287i	0.57053-0.16779i	0.5713-0.16263i	0.57207-0.15748i	0.57284-0.15232i	0.57361-0.14716i	0.57438-0.142i	0.57495-0.13674i	0.57548-0.13146i
0.57468-0.14415i	0.57586-0.13926i	0.57704-0.13438i	0.57822-0.12949i	0.5794-0.1246i	0.58058-0.11972i	0.58165-0.11478i	0.5826-0.10978i	0.58355-0.10478i	0.58451-0.09978i	0.58546-0.094781i	0.58641-0.089782i	0.58717-0.084696i	0.58789-0.079598i
0.59032-0.093325i	0.59166-0.088668i	0.59299-0.084011i	0.59433-0.079354i	0.59567-0.074697i	0.59701-0.07004i	0.59823-0.065341i	0.59935-0.060598i	0.60046-0.055854i	0.60158-0.051111i	0.60269-0.046367i	0.60381-0.041624i	0.60473-0.036817i	0.60562-0.032001i
0.61019-0.045751i	0.61164-0.041417i	0.61309-0.037083i	0.61454-0.032749i	0.61599-0.028415i	0.61744-0.024081i	0.61878-0.019719i	0.62001-0.015326i	0.62124-0.010933i	0.62247-0.0065402i	0.62369-0.0021473i	0.62492+0.0022456i	0.62596+0.0066795i	0.62696+0.011119i
0.63335-0.0011805i	0.63484+0.0027475i	0.63633+0.0066755i	0.63782+0.010603i	0.63931+0.014531i	0.6408+0.018459i	0.64219+0.022403i	0.64345+0.026363i	0.64472+0.030323i	0.64599+0.034283i	0.64725+0.038242i	0.64852+0.042202i	0.64959+0.04618i	0.65063+0.050161i
0.6594+0.040807i	0.66084+0.044266i	0.66227+0.047725i	0.66371+0.051184i	0.66515+0.054643i	0.66658+0.058102i	0.66791+0.061564i	0.66912+0.065028i	0.67032+0.068492i	0.67153+0.071957i	0.67274+0.075421i	0.67395+0.078885i	0.67495+0.082345i	0.67593+0.085804i
0.68843+0.080478i	0.6897+0.08343i	0.69097+0.086382i	0.69224+0.089334i	0.69351+0.092286i	0.69478+0.095239i	0.69594+0.098181i	0.69698+0.10111i	0.69801+0.10404i	0.69905+0.10698i	0.70008+0.10991i	0.70111+0.11284i	0.70194+0.11574i	0.70274+0.11865i
0.72078+0.11769i	0.72177+0.12013i	0.72276+0.12256i	0.72375+0.125i	0.72474+0.12743i	0.72573+0.12987i	0.7266+0.13228i	0.72734+0.13467i	0.72808+0.13706i	0.72882+0.13945i	0.72957+0.14184i	0.73031+0.14423i	0.73083+0.14657i	0.73133+0.14891i
0.75679+0.15182i	0.75738+0.15375i	0.75798+0.15569i	0.75857+0.15762i	0.75916+0.15956i	0.75975+0.16149i	0.76021+0.16339i	0.76054+0.16526i	0.76087+0.16713i	0.7612+0.16899i	0.76153+0.17086i	0.76186+0.17273i	0.76196+0.17453i	0.76204+0.17632i
0.79645+0.1818i	0.79654+0.18328i	0.79662+0.18476i	0.7967+0.18623i	0.79678+0.18771i	0.79686+0.18919i	0.79681+0.19062i	0.79662+0.19201i	0.79642+0.1934i	0.79623+0.19478i	0.79603+0.19617i	0.79584+0.19756i	0.7954+0.19886i	0.79493+0.20015i
0.83918+0.20644i	0.83866+0.20752i	0.83813+0.20861i	0.83761+0.20969i	0.83708+0.21077i	0.83656+0.21185i	0.83589+0.21288i	0.83507+0.21385i	0.83425+0.21482i	0.83343+0.21579i	0.8326+0.21676i	0.83178+0.21773i	0.83071+0.2186i	0.8296+0.21946i
0.88378+0.2247i	0.88257+0.22546i	0.88135+0.22623i	0.88013+0.22699i	0.87892+0.22775i	0.8777+0.22852i	0.87633+0.22922i	0.87479+0.22986i	0.87326+0.23049i	0.87173+0.23113i	0.87019+0.23177i	0.86866+0.2324i	0.86686+0.23292i	0.86502+0.23343i
0.92857+0.23603i	0.92659+0.23656i	0.92461+0.2371i	0.92263+0.23764i	0.92065+0.23818i	0.91867+0.23872i	0.91653+0.23919i	0.91421+0.23958i	0.91189+0.23998i	0.90957+0.24038i	0.90726+0.24077i	0.90494+0.24117i	0.90234+0.24143i	0.89969+0.24168i
0.97164+0.24062i	0.96884+0.24103i	0.96604+0.24144i	0.96324+0.24186i	0.96044+0.24227i	0.95765+0.24269i	0.95467+0.24303i	0.95152+0.24329i	0.94836+0.24355i	0.9452+0.24381i	0.94204+0.24407i	0.93888+0.24433i	0.93542+0.24445i	0.93192+0.24455i
1.0113+0.23944i	1.0076+0.23984i	1.0039+0.24024i	1.0003+0.24064i	0.99663+0.24105i	0.99298+0.24145i	0.98913+0.24177i	0.98509+0.24201i	0.98105+0.24225i	0.97701+0.24249i	0.97297+0.24273i	0.96893+0.24298i	0.96457+0.24307i	0.96016+0.24314i
1.0463+0.2341i	1.0417+0.23461i	1.0372+0.23512i	1.0326+0.23564i	1.0281+0.23615i	1.0236+0.23666i	1.0188+0.23709i	1.0139+0.23744i	1.0089+0.23778i	1.004+0.23812i	0.99902+0.23847i	0.99408+0.23881i	0.98879+0.239i	0.98345+0.23917i
1.0762+0.22655i	1.0708+0.2273i	1.0654+0.22805i	1.0599+0.2288i	1.0545+0.22955i	1.0491+0.23031i	1.0434+0.23098i	1.0376+0.23155i	1.0317+0.23213i	1.0259+0.23271i	1.02+0.23329i	1.0141+0.23387i	1.0079+0.23429i	1.0017+0.23469i
1.1017+0.21864i	1.0954+0.21977i	1.0891+0.2209i	1.0828+0.22203i	1.0765+0.22315i	1.0702+0.22428i	1.0637+0.22532i	1.0569+0.22628i	1.0502+0.22723i	1.0434+0.22819i	1.0367+0.22914i	1.0299+0.2301i	1.0228+0.23089i	1.0156+0.23166i
1.1239+0.21175i	1.1168+0.21339i	1.1096+0.21503i	1.1025+0.21668i	1.0954+0.21832i	1.0883+0.21996i	1.0809+0.22152i	1.0733+0.22299i	1.0657+0.22446i	1.0581+0.22593i	1.0505+0.2274i	1.0429+0.22887i	1.0349+0.23018i	1.0268+0.23147i
